Module,Stage,Status,business_id,name,address,city,state,postal_code,PhoneDayNumber,PhoneDayExt,Status
FoodFacility,Active,Permitted,1400335,Amigo Joes Mexican Restaurant & Cantina,5901 Southwest,St Louis,MO,63139,471-3797,,Permitted
FoodFacility,Active,Permitted,37578,Amoco Food Shop,3520 Natural Bridge,St Louis,MO,63107,533-6800,,Permitted
FoodFacility,Active,Permitted,1200198,Amsterdam Tavern,3175 MORGANFORD,St Louis,MO,63116,772-8224,,Permitted
FoodFacility,Active,Permitted,8504,Amvets Post #67,5022 San Francisco,St Louis,MO,63115,383-7901,,Permitted
FoodFacility,Active,Permitted,17512,Amvets Post #88,8449 N BROADWAY,St Louis,MO,63147,867-6475,,Permitted
FoodFacility,Active,Permitted,MLEN-99EP8Q,Amy's Corner Bakeshop,4476 Chouteau,St Louis,MO,63110,640-4571,,Permitted
FoodFacility,Active,Permitted,MWHN-95XL6Q,Andres Ribs,4701B S Kingshighway,St Louis,MO,63109,368-1894,,Permitted
FoodFacility,Active,Permitted,11000089,Andrews Bayou Ribs Trailer,9342 North Ave,St Louis,MO,63114,575-7976,,Permitted
FoodFacility,Active,Permitted,MLEN-8ZKMY5,Andrews Bayou Ribs Truck,9342 North Ave,St Louis,MO,63114,575-7976,,Permitted
FoodFacility,Active,Permitted,1200108,Angel Baked Cookies @ Sts Teresa & Bridget Church,2401 N Grand,St Louis,MO,63113,371-1190,,Permitted
FoodFacility,Active,Permitted,10700015,Angelos Taverna,316 MARKET,St Louis,MO,63102,588-9000,,Permitted
FoodFacility,Active,Permitted,1400686,Angry Beaver,730 S Broadway,St Louis,MO,63102,241-3444,,Permitted
FoodFacility,Active,Permitted,14023,Anheuser Busch Executive Dinin,1 BUSCH Place,St Louis,MO,63118,577-3785,,Permitted
FoodFacility,Active,Permitted,20904,Anheuser Busch Eye Institute #18830,1755 S Grand,St Louis,MO,63103,577-8000,,Permitted
FoodFacility,Active,Permitted,1200215,Annie Malone Children & Family Svc Ctr,5355 PAGE,St Louis,MO,63112,361-2222,,Permitted
FoodFacility,Active,Permitted,MWHN-94WRKC,Annie Moons,4001 Utah St,SAINT LOUIS,MO,63116,296-3300,,Permitted
FoodFacility,Active,Permitted,37602,Anthonino's Taverna,2225 MACKLIND,St Louis,MO,63110,773-4455,,Permitted
FoodFacility,Active,Permitted,CGIA-9RQNXG,Antonios Bistro Market,5005 - 07 S Kingshighway,SAINT LOUIS,MO,63109,,,Permitted
FoodFacility,Active,Permitted,1201062,Applebee's #8118,4680 CHIPPEWA,St Louis,MO,63116,352-3700,,Permitted
FoodFacility,Active,Permitted,1201061,Applebee's #8127,4550 Forest Park,St Louis,MO,63109,454-6636,,Permitted
FoodFacility,Active,Permitted,37761,Appolonia Restaurant,6836 GRAVOIS,St Louis,MO,63116,353-1488,,Permitted
FoodFacility,Active,Permitted,37671,Apted-Hulling @ Dwight Davis Tennis Center,5620 GRAND FOREST PARK,St Louis,MO,63112,361-0177,,Permitted
FoodFacility,Active,Permitted,1400148,Aqua,999 N 2nd St,St Louis,MO,63102,881-7565,,Permitted
FoodFacility,Active,Permitted,21113,Aramark @ Anheuser Busch Headquarters,1 BUSCH Place,St Louis,MO,63118,577-4038,,Permitted
FoodFacility,Active,Permitted,1200587,Aramark @ Anheuser Busch Tech Ctr,423 Lynch,St Louis,MO,63118,765-7045,,Permitted
FoodFacility,Active,Permitted,KHUS-9NLKBR,Aramark @ SLU - Clemens-Starbucks,3640 W Pine,SAINT LOUIS,MO,63103,,,Permitted
FoodFacility,Active,Permitted,1400181,Aramark @ Solae -,4300 Duncan,St Louis,MO,63110,659-3457,,Permitted
FoodFacility,Active,Permitted,PMAY-9LSRZ6,Aramark @ St Louis University - Billiken's Club,20 N Grand,St Louis,MO,63103,977-9430,,Permitted
FoodFacility,Active,Permitted,PMAY-9LSS4X,Aramark @ St Louis University - Marketplace,20 N Grand,St Louis,MO,63103,977-9430,,Permitted
FoodFacility,Active,Pending,#N/A,Aramark at Busch Student Center,20 N Grand Blvd,St Louis,MO,63103,977-9430,,#N/A
FoodFacility,Active,Permitted,KHUS-9KDS2S,Aramark at St Louis University - Griesedieck Hall,3630 West Pine,SAINT LOUIS,MO,63108,977-9430,,Permitted
FoodFacility,Active,Permitted,KHUS-9KDS6T,Aramark at St Louis University - The Docket,100 N Tucker Blvd,SAINT LOUIS,MO,63101,,,Permitted
FoodFacility,Active,Permitted,KHUS-9KDRSQ,Aramark at St Louis University P.O.D,20 N Grand Blvd,St Louis,MO,63103,977-9430,,Permitted
FoodFacility,Active,Permitted,KHUS-9KDRWL,Aramark at St Louis University-Cook Business School/Ameren Cafe,3674 Lindell Blvd,SAINT LOUIS,MO,63108,,,Permitted
FoodFacility,Active,Permitted,KHUS-9KDSBL,Aramark at St Louis University-Education Center,1312 Carr Ln,St Louis,MO,63104,,,Permitted
